smiles,P2,P1,P3,P4,P5,P6,P7,P8,P9
NC(=O)CSc1nnc(Cn2c(=O)sc3ccccc32)n1-c1ccccc1,0,1,1,1,1,1,1,1,1
CCOC(=O)C(CC)Sc1nnc2cc(C)c3ccccc3n12,1,1,1,1,1,1,1,1,1
COc1ccc(-c2noc(-c3ccccc3C(=O)NCc3ccco3)n2)cc1,0,1,1,1,1,1,1,0,1
CN1CCN(C(c2cccnc2)c2ccc3cccnc3c2O)CC1,1,1,0,1,1,1,1,1,1
O=C(CCN1CCN(c2ccccc2)CC1)Nc1ccccc1F,1,0,0,1,1,1,1,1,1
O=C(Cn1nnc2c(sc3nc4c(c(-c5ccccc5)c32)CCC4)c1=O)c1ccccc1,1,1,1,1,1,1,1,1,1
COc1ccccc1N1CCN(C(=O)COc2ccc(S(=O)(=O)NC3CCCCC3)cc2)CC1,1,0,0,1,0,1,1,0,1
Cc1cc(-c2ccc(Cl)cc2)oc(=O)c1NC(=O)c1ccccc1,1,1,1,1,1,0,1,1,1
O=C(NCCCN1CCCC1=O)c1ccccc1NS(=O)(=O)c1ccc(Br)cc1,1,1,1,1,1,1,1,1,0
CCOC(=O)c1[nH]c2ccccc2c1NC(=O)CN(C)C,1,0,1,0,1,1,0,1,1
CCOC(=O)c1cc(=O)cc(C(=O)OCC)o1,1,1,1,1,1,0,1,1,1
Cc1ccc2cc(CCNC(=O)C3CCCC3)c(=O)[nH]c2c1,1,0,0,1,0,1,1,1,1
CCC(=O)Nc1cc(C(=O)O)ccc1Sc1ccccc1,1,1,1,1,1,1,1,1,1
C=C1c2ccccc2NC(=S)N1Cc1ccc2c(c1)OCO2,1,1,1,1,1,1,1,1,1
CCCn1nc(Oc2nc(SC)nc(N(C)C)n2)ccc1=O,1,1,1,1,0,1,1,1,1
C=CCN1C(=O)C(O)(CC(=O)c2ccc(Cl)cc2)c2ccccc21,1,0,1,1,1,0,1,1,1
O=c1c2c(-c3cccs3)csc2ncn1-c1ccccc1,1,1,1,1,1,1,1,1,1
CCOC(=O)CSc1nnc(C(NC(=O)OC(C)(C)C)C(C)C)o1,1,1,1,1,1,1,1,1,1
CCOCCCNC(=O)C1CCCN1C(=O)NC1CCCCC1,1,0,0,1,1,1,1,0,1
N#Cc1ccccc1CSc1ccccn1,1,1,1,1,1,1,1,1,1
O=C(NCc1ccccn1)c1ccccc1-c1ccccc1,1,1,1,1,1,1,1,1,1
C/C(Cl)=C/Cn1c(=O)c2c(nc(Br)n2Cc2ccccc2)n(C)c1=O,0,1,1,1,1,1,1,1,1
Cc1nnc(NC(=O)Cn2c(=O)sc3ccccc32)s1,1,1,1,1,1,0,1,1,1
COc1ccc(CCN(C)C(=O)CN2C(=O)c3ccccc3S2(=O)=O)cc1OC,1,1,0,0,1,1,1,1,1
O=C1CCc2cc(S(=O)(=O)N3CCC(C(=O)NC4CCCC4)CC3)ccc2N1,1,1,1,1,1,1,1,1,1
Cc1cnc(C(=O)Nc2ccc(N3CCOCC3)cc2)cn1,1,0,1,0,1,1,1,1,1
O=C(NCC(c1cccnc1)N1CCN(c2ccccc2F)CC1)C1CCCCC1,1,1,1,1,1,1,1,1,1
Cc1ccc2c(c1)N/C(=C1/C=C(NC(=O)/C=C/c3ccccc3)C=CC1=O)O2,1,1,1,1,1,0,1,1,1
COC(=O)c1nn(-c2ccc(Cl)cc2)c(=O)cc1Sc1ccccn1,1,1,1,1,1,1,1,1,1
Cn1c(=O)c2c(nc(Br)n2Cc2c(F)cccc2Cl)n(C)c1=O,0,1,1,1,1,1,1,1,0
